recall	precision	percentage
0.0	0.0	0.3058104
0.0	0.0	0.6116208
0.012820513	0.33333334	0.9174312
0.025641026	0.5	1.2232416
0.025641026	0.4	1.529052
0.025641026	0.33333334	1.8348624
0.03846154	0.42857143	2.1406727
0.051282052	0.5	2.4464831
0.051282052	0.44444445	2.7522936
0.06410257	0.5	3.058104
0.06410257	0.45454547	3.3639145
0.07692308	0.5	3.6697247
0.08974359	0.53846157	3.9755352
0.102564104	0.5714286	4.2813454
0.115384616	0.6	4.587156
0.12820514	0.625	4.8929663
0.14102565	0.64705884	5.1987767
0.15384616	0.6666667	5.504587
0.15384616	0.6315789	5.8103976
0.15384616	0.6	6.116208
0.16666667	0.61904764	6.4220185
0.16666667	0.59090906	6.727829
0.16666667	0.5652174	7.033639
0.16666667	0.5416667	7.3394494
0.17948718	0.56	7.64526
0.1923077	0.5769231	7.9510703
0.1923077	0.5555556	8.256881
0.20512821	0.5714286	8.562691
0.20512821	0.55172414	8.868502
0.21794872	0.56666666	9.174312
0.23076923	0.58064514	9.480123
0.23076923	0.5625	9.785933
0.23076923	0.54545456	10.091743
0.24358974	0.5588235	10.397553
0.24358974	0.54285717	10.703364
0.25641027	0.5555556	11.009174
0.26923078	0.5675676	11.314984
0.26923078	0.55263156	11.620795
0.26923078	0.53846157	11.926605
0.2820513	0.55	12.232416
0.2820513	0.5365854	12.538226
0.2820513	0.52380955	12.844037
0.2820513	0.5116279	13.149847
0.2820513	0.5	13.455658
0.2948718	0.51111114	13.761468
0.30769232	0.5217391	14.067278
0.32051283	0.5319149	14.373089
0.33333334	0.5416667	14.678899
0.33333334	0.53061223	14.98471
0.34615386	0.54	15.29052
0.34615386	0.5294118	15.596331
0.34615386	0.5192308	15.902141
0.34615386	0.509434	16.20795
0.35897437	0.5185185	16.513762
0.35897437	0.5090909	16.819572
0.37179488	0.51785713	17.125381
0.3846154	0.5263158	17.431192
0.3846154	0.51724136	17.737003
0.3974359	0.5254237	18.042814
0.3974359	0.51666665	18.348623
0.3974359	0.5081967	18.654434
0.3974359	0.5	18.960245
0.3974359	0.4920635	19.266054
0.3974359	0.484375	19.571865
0.3974359	0.47692308	19.877676
0.3974359	0.46969697	20.183487
0.3974359	0.46268657	20.489296
0.3974359	0.45588234	20.795107
0.3974359	0.44927537	21.100918
0.3974359	0.44285715	21.406729
0.41025642	0.45070422	21.712538
0.41025642	0.44444445	22.018349
0.41025642	0.43835616	22.32416
0.42307693	0.44594595	22.629969
0.42307693	0.44	22.93578
0.42307693	0.43421054	23.24159
0.42307693	0.42857143	23.547401
0.42307693	0.42307693	23.85321
0.42307693	0.4177215	24.159021
0.43589744	0.425	24.464832
0.44871795	0.43209878	24.770641
